Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMX
Superelement       Element    Element average value
==========================================================================================================
R200                  24372      30.4679
R200                  24373      11.8976
R200                  24374      3.54387
R200                  24375    -0.222818
R200                  24376     -4.81096
R200                  24377     -19.9626
R200                  24378     -15.6471
R200                  24379     -12.7343
R200                  24380     -9.26874
R200                  24381     -4.34137
R200                  24382    -0.640766
R200                  24383      2.00888
R200                  24384      6.45213
R200                  24385      13.9221
R200                  24386      29.3533
R200                  24650     -37.4217
R200                  24651     -42.5825
R200                  24652     -56.0623
R200                  24653     -47.3776
R200                  24654     -29.4286
R200                  24655     -32.4165
R200                  24656     -34.5487
R200                  24657     -34.9549
R200                  24658     -21.4141
R200                  24659      -22.554
R200                  24660     -22.8529
R200                  24661     -24.1854
R200                  24662     -15.3284
R200                  24663     -15.4896
R200                  24664     -15.5139
R200                  24665     -10.0406
R200                  24666     -9.96262
R200                  24667     -9.77108
R200                  24668     -5.19556
R200                  24669     -5.01938
R200                  24670     -4.69527
R200                  24671     0.526885
R200                  24672   -0.0325701
R200                  24673     0.227302
R200                  24674      7.00773
R200                  24675      5.92443
R200                  24676      5.97534
R200                  24677      11.6518
R200                  24678      12.7026
R200                  24679      13.2508
R200                  24680      20.0238
R200                  24681      21.2971
R200                  24682      22.2026
R200                  24683      30.0847
R200                  24684      32.1331
R200                  24685      32.9657
R200                  24687      46.0335
R200                  24688       47.177
R200                  24689      56.1554
R200                  24690      62.8989
R200                  24691      71.0874
R200                  24692     -58.6059
R200                  24693     -45.7426
R200                  24694     -38.0761
R200                  24695     -15.4031
R200                  24696     -16.4404
R200                  24697     -17.2968
R200                  24698      7.57244
R200                  24699      6.49706
R200                  24700      5.19641
R200                  24702      85.7135
R200                  24703      69.6656
R200                  24704       58.836
R200                  24705      56.7389
R200                  24706     -44.6617
R200                  24707     -40.1666
R200                  24708     -33.6167
R200                  24709     -12.4256
R200                  24710     -14.6099
R200                  24711     -16.1238
R200                  24712      6.40861
R200                  24713      4.91065
R200                  24714      3.82702
R200                  24715     -35.7308
R200                  24716      -33.216
R200                  24717     -28.9106
R200                  24718     -10.4622
R200                  24719     -12.4523
R200                  24720     -13.7242
R200                  24721       3.4707
R200                  24722      3.14638
R200                  24723      3.61572
R200                  24724     -29.3569
R200                  24725     -27.0677
R200                  24726     -24.1069
R200                  24727      -8.7289
R200                  24728     -10.4388
R200                  24729     -11.8322
R200                  24730     -3.04202
R200                  24731   -0.0839365
R200                  24732      3.13122
R200                  24733      23.4886
R200                  24734      9.28385
R200                  24735       2.5595
R200                  24736    -0.339657
R200                  24737     -1.84401
R200                  24738     -24.9807
R200                  24739     -22.7579
R200                  24740      -20.388
R200                  24741     -7.38736
R200                  24742     -8.98512
R200                  24743     -10.4406
R200                  24744      37.7742
R200                  24745      32.0974
R200                  24746      30.5764
R200                  24747       -3.712
R200                  24748    -0.369325
R200                  24749      3.14908
R200                  24750      1.40642
R200                  24751       2.2125
R200                  24752      3.55562
R200                  24753     -21.8146
R200                  24754     -19.6497
R200                  24755     -17.4884
R200                  24756     -6.38481
R200                  24757     -7.93464
R200                  24758      -9.4476
R200                  24759      31.4456
R200                  24760      29.9393
R200                  24761      31.3338
R200                  24762     -5.71045
R200                  24763     -7.18989
R200                  24764     -8.66222
R200                  24765      3.08726
R200                  24766      3.43972
R200                  24767      3.99428
R200                  24768      30.4951
R200                  24769      26.7749
R200                  24770      26.3241
R200                  24771     -19.4014
R200                  24772     -17.3436
R200                  24773     -15.3494
R200                  24774     -17.5198
R200                  24775     -15.6062
R200                  24776     -13.8106
R200                  24777     -5.31116
R200                  24778      -6.6912
R200                  24779     -8.03878
R200                  24780      3.64212
R200                  24781      3.90718
R200                  24782      4.17156
R200                  24783      30.7302
R200                  24784       24.229
R200                  24785      21.3664
R200                  24786     -16.1126
R200                  24787     -14.2931
R200                  24788     -12.5966
R200                  24789     -5.07258
R200                  24790     -6.39626
R200                  24791     -7.68741
R200                  24792      30.9568
R200                  24793      22.5355
R200                  24794      17.8913
R200                  24795      3.81221
R200                  24796      3.99122
R200                  24797      4.12884
R200                  24798     -15.0797
R200                  24799     -13.3126
R200                  24800     -11.6164
R200                  24801     -4.97448
R200                  24802     -6.27573
R200                  24803     -7.58951
R200                  24804      3.82626
R200                  24805      3.90787
R200                  24806      3.94774
R200                  24807      31.0508
R200                  24808      21.5087
R200                  24809      15.7536
R200                  24810     -14.2491
R200                  24811     -12.5771
R200                  24812     -11.0083
R200                  24813     -5.09381
R200                  24814     -6.33361
R200                  24815     -7.55221
R200                  24816        31.23
R200                  24817      20.8472
R200                  24818      14.3013
R200                  24819      3.66122
R200                  24820      3.76398
R200                  24821      3.76137
R200                  24822      3.71816
R200                  24823      3.47009
R200                  24824      3.58429
R200                  24825     -13.6756
R200                  24826     -12.0629
R200                  24827     -10.5571
R200                  24828     -5.32534
R200                  24829     -6.53344
R200                  24830     -7.71901
R200                  24831      31.3907
R200                  24832      20.5098
R200                  24833      13.5428
R200                  24834      -13.319
R200                  24835     -11.7274
R200                  24836     -10.2015
R200                  24837     -5.66331
R200                  24838     -6.87023
R200                  24839     -8.10544
R200                  24840      3.54386
R200                  24841      3.38077
R200                  24842      3.18442
R200                  24843      31.4106
R200                  24844      20.4961
R200                  24845      13.5128
R200                  24846       3.4065
R200                  24847      3.14799
R200                  24848      2.85895
R200                  24849      -13.028
R200                  24850     -11.5014
R200                  24851     -10.1035
R200                  24852     -6.20941
R200                  24853     -7.37219
R200                  24854     -8.53644
R200                  24855      31.3337
R200                  24856      20.7999
R200                  24857      14.2066
R200                  24858     -12.8362
R200                  24859     -11.3623
R200                  24860     -10.0596
R200                  24861     -6.89134
R200                  24862     -8.03303
R200                  24863     -9.17604
R200                  24864        31.36
R200                  24865      21.3704
R200                  24866      15.4612
R200                  24867       3.2262
R200                  24868      2.87767
R200                  24869      2.50166
R200                  24870     -12.5961
R200                  24871     -11.3001
R200                  24872     -10.0569
R200                  24873     -7.76042
R200                  24874     -8.90246
R200                  24875     -10.0692
R200                  24876      2.99293
R200                  24877       2.5327
R200                  24878      2.06559
R200                  24879      31.6705
R200                  24880       22.237
R200                  24881      17.1358
R200                  24882       2.6175
R200                  24883      2.09363
R200                  24884       1.6007
R200                  24885      -12.361
R200                  24886     -11.2478
R200                  24887     -10.1529
R200                  24888     -9.04127
R200                  24889     -10.1219
R200                  24890     -11.0899
R200                  24891      32.1348
R200                  24892      23.7544
R200                  24893      19.6141
R200                  24894     -12.9732
R200                  24895      -11.825
R200                  24896     -10.7273
R200                  24897     -10.9872
R200                  24898     -11.9281
R200                  24899      -12.427
R200                  24900      2.05137
R200                  24901      1.49174
R200                  24902      1.07734
R200                  24903      33.1801
R200                  24904      26.1342
R200                  24905      22.7465
R200                  24906     -13.8091
R200                  24907     -12.5732
R200                  24908     -11.4261
R200                  24909     -14.7761
R200                  24910     -14.6585
R200                  24911     -13.9087
R200                  24912      1.18569
R200                  24913     0.656409
R200                  24914       0.3968
R200                  24915      36.0902
R200                  24916      29.8484
R200                  24917      25.2928
R200                  24918     -20.9207
R200                  24919      -16.505
R200                  24920      -15.011
R200                  24921      0.21384
R200                  24922   -0.0909636
R200                  24923    -0.179645
R200                  24924      41.4457
R200                  24925       32.613
R200                  24926      26.0143
R200                  24927     -14.8808
R200                  24928     -13.6517
R200                  24929     -12.5555
R200                  24930     -17.3791
R200                  24931     -15.3267
R200                  24932     -12.8699
R200                  24933     -9.43966
R200                  24934      -4.5685
R200                  24935    -0.627264
R200                  24936      2.73063
R200                  24937      7.45105
R200                  24938      13.5186
R200                  24939      23.8835
R200                  24940     -20.9241
R200                  24941     -16.6223
R200                  24942     -15.0291
R200                  24943     0.398573
R200                  24944    0.0141235
R200                  24945    0.0381563
R200                  24946      40.7935
R200                  24947      32.6926
R200                  24948      26.5923
R200                  24949     -16.3299
R200                  24950     -15.2592
R200                  24951     -14.1679
R200                  24952     -15.1444
R200                  24953      -14.966
R200                  24954     -14.0619
R200                  24955      1.83705
R200                  24956      1.34031
R200                  24957      1.15744
R200                  24958      34.4605
R200                  24959      29.8228
R200                  24960      26.8867
R200                  24961      2.92236
R200                  24962      2.51673
R200                  24963      2.07087
R200                  24964     -18.4126
R200                  24965     -17.4906
R200                  24966     -16.1277
R200                  24967      -11.973
R200                  24968     -12.6682
R200                  24969     -12.9221
R200                  24970      30.1395
R200                  24971      26.4555
R200                  24972       26.119
R200                  24973      3.39012
R200                  24974       3.1396
R200                  24975      2.63308
R200                  24976     -21.3073
R200                  24977     -19.9643
R200                  24978     -17.9956
R200                  24979     -10.8473
R200                  24980     -11.5231
R200                  24981     -12.0794
R200                  24982      3.74996
R200                  24983      3.57034
R200                  24984      3.12933
R200                  24985      28.2926
R200                  24986      24.7337
R200                  24987      25.0833
R200                  24988     -25.8956
R200                  24989     -22.0087
R200                  24990     -19.4925
R200                  24991      -10.713
R200                  24992     -11.0939
R200                  24993     -11.3131
R200                  24994       3.6741
R200                  24995      3.60904
R200                  24996      3.55783
R200                  24997      28.8058
R200                  24998       23.916
R200                  24999      23.0478
R200                  25000       -18.37
R200                  25001     -20.0947
R200                  25002     -24.3023
R200                  25003     -21.6162
R200                  25004      -15.427
R200                  25005     -16.3649
R200                  25006     -17.0277
R200                  25007     -17.0395
R200                  25008     -12.1327
R200                  25009      -12.485
R200                  25010     -12.4732
R200                  25011     -12.9472
R200                  25012     -9.01048
R200                  25013     -9.11089
R200                  25014      -9.0382
R200                  25015     -5.77103
R200                  25016     -5.80433
R200                  25017     -5.80422
R200                  25018       -2.845
R200                  25019     -2.79339
R200                  25020     -2.78215
R200                  25021    -0.240314
R200                  25022   -0.0858628
R200                  25023      0.34795
R200                  25024      2.21339
R200                  25025      2.34391
R200                  25026      2.98028
R200                  25027      4.70676
R200                  25028      4.65192
R200                  25029      4.70853
R200                  25030      7.52865
R200                  25031      7.42487
R200                  25032      7.10633
R200                  25033      10.9447
R200                  25034       10.842
R200                  25035      10.0934
R200                  25036      15.2944
R200                  25037      15.1184
R200                  25038      14.3339
R200                  25039      22.2636
R200                  25040      19.6546
R200                  25041      18.1175
R200                  25987      17.0128
R200                  25989      1.59638
R200                  25990    -0.438318
R200                  25991      1.08805
R200                  25992     -14.6653
R200                  25993     -13.8006
R200                  25994     -12.8285
R200                  25995     -9.76958
R200                  25996     -4.67505
R200                  25997    -0.559578
R200                  25998      3.41314
R200                  25999      8.42845
R200                  26000      14.5295
R200                  26001       18.652
R200                  26138     0.820067
R200                  26139     0.815518
R200                  26140      2.78146
R200                  26141     0.953968
R200                  26142      1.50891
R200                  26143      3.48634
R200                  26144      2.15449
R200                  26145     0.675601
R200                  26146      1.52786
R200                  26147      3.08574
R200                  26148      2.29122
R200                  26149      0.38343
R200                  26150      1.23223
R200                  26151      2.02764
R200                  26152   -0.0097095
R200                  26153     0.636384
R200                  26154      1.08659
R200                  26155     -0.30336
R200                  26156     0.115945
R200                  26157     0.306393
R200                  26158    -0.574016
R200                  26159    -0.287077
R200                  26160    -0.204243
R200                  26161    -0.814384
R200                  26162     -0.57011
R200                  26163     -0.49051
R200                  26164    -0.946426
R200                  26165    -0.750396
R200                  26166     -0.68392
R200                  26167    -0.989957
R200                  26168    -0.847122
R200                  26169     -0.80796
R200                  26170     -1.03433
R200                  26171    -0.876271
R200                  26172    -0.801585
R200                  26173     -1.00892
R200                  26174    -0.850831
R200                  26175    -0.764346
R200                  26176    -0.914885
R200                  26177    -0.777598
R200                  26178    -0.709381
R200                  26179    -0.837335
R200                  26180    -0.657602
R200                  26181    -0.552595
R200                  26182    -0.706223
R200                  26183    -0.488496
R200                  26184    -0.370465
R200                  26185     -0.53514
R200                  26186    -0.288219
R200                  26187    -0.101978
R200                  26188    -0.438713
R200                  26189    -0.105701
R200                  26190     0.429609
R200                  26191    -0.414554
R200                  26192    -0.024081
R200                  26193     0.936704
R200                  26194     -1.04039
R200                  26195    -0.182792
R200                  26196      1.68523
R200                  26197     0.954677
R200                  26198     -2.11588
R200                  26199     -2.26849
R200                  26200     0.800595
R200                  26201       2.4442
R200                  26202     0.968817
R200                  26203      1.69933
R200                  26204      1.75006
R200                  26205    -0.487898
