Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
==========================================================================================================
R200                  24372       5.1234
R200                  24373      4.01026
R200                  24374      1.93429
R200                  24375      0.15691
R200                  24376     -2.03344
R200                  24377     -4.17882
R200                  24378     -3.93972
R200                  24379     -3.53124
R200                  24380     -2.80442
R200                  24381     -1.90495
R200                  24382     -1.74567
R200                  24383    -0.432391
R200                  24384     0.905728
R200                  24385      3.05777
R200                  24386      5.19234
R200                  24650     -1.82224
R200                  24651    -0.349287
R200                  24652     -7.81779
R200                  24653     -1.75527
R200                  24654     -2.83078
R200                  24655     -2.57492
R200                  24656     -4.61448
R200                  24657     -9.00784
R200                  24658     -2.77856
R200                  24659     -4.43615
R200                  24660     -6.30546
R200                  24661     -7.24848
R200                  24662     -2.47763
R200                  24663     -4.20281
R200                  24664      -5.0652
R200                  24665     -1.52417
R200                  24666     -2.41438
R200                  24667     -2.90893
R200                  24668    -0.257598
R200                  24669    -0.510502
R200                  24670     -1.05132
R200                  24671       1.8176
R200                  24672      1.52635
R200                  24673     0.796584
R200                  24674      4.91562
R200                  24675       4.0519
R200                  24676      2.84311
R200                  24677      6.64301
R200                  24678      6.00122
R200                  24679      4.95284
R200                  24680      6.88792
R200                  24681      7.45387
R200                  24682      7.30131
R200                  24683      6.47551
R200                  24684      8.14512
R200                  24685      9.65467
R200                  24687       6.7086
R200                  24688      11.8458
R200                  24689      2.13893
R200                  24690      1.82245
R200                  24691      10.0556
R200                  24692     -7.14046
R200                  24693     -1.11743
R200                  24694     -2.13282
R200                  24695     -1.80451
R200                  24696    -0.676603
R200                  24697     -1.42651
R200                  24698     0.534576
R200                  24699     0.171307
R200                  24700    -0.872133
R200                  24702      4.01784
R200                  24703     0.496826
R200                  24704     0.374419
R200                  24705      3.21079
R200                  24706     -10.1546
R200                  24707     -3.92022
R200                  24708     -3.96629
R200                  24709     -2.51168
R200                  24710     -1.53607
R200                  24711     -2.61392
R200                  24712     0.834582
R200                  24713   -0.0513744
R200                  24714     -1.55244
R200                  24715     -9.77673
R200                  24716     -6.55462
R200                  24717     -5.17196
R200                  24718     -2.63061
R200                  24719     -2.41813
R200                  24720     -2.96475
R200                  24721     0.376336
R200                  24722      0.11329
R200                  24723    -0.925616
R200                  24724      -8.8554
R200                  24725     -7.44586
R200                  24726     -5.84852
R200                  24727     -2.51095
R200                  24728     -2.77219
R200                  24729     -3.03951
R200                  24730     0.405726
R200                  24731      1.07898
R200                  24732     0.687613
R200                  24733     0.438094
R200                  24734     0.856167
R200                  24735     0.841279
R200                  24736     0.412474
R200                  24737     0.431033
R200                  24738     -7.90989
R200                  24739     -7.29767
R200                  24740     -6.01281
R200                  24741     -2.30091
R200                  24742      -2.7676
R200                  24743       -2.991
R200                  24744      5.41505
R200                  24745    0.0828998
R200                  24746     -1.16548
R200                  24747     0.370011
R200                  24748      1.29268
R200                  24749      1.56227
R200                  24750    0.0474637
R200                  24751     0.522798
R200                  24752     0.951753
R200                  24753      -7.0728
R200                  24754     -6.85642
R200                  24755     -5.94291
R200                  24756      -2.0906
R200                  24757     -2.65412
R200                  24758     -2.89293
R200                  24759      7.14961
R200                  24760      1.06597
R200                  24761     -1.93009
R200                  24762     -1.92015
R200                  24763     -2.53678
R200                  24764     -2.83011
R200                  24765     0.478674
R200                  24766     0.395864
R200                  24767     0.675816
R200                  24768      7.30415
R200                  24769      2.02903
R200                  24770     -1.78775
R200                  24771     -6.37254
R200                  24772     -6.35544
R200                  24773     -5.72217
R200                  24774     -5.80293
R200                  24775     -5.88028
R200                  24776     -5.42428
R200                  24777     -1.80201
R200                  24778      -2.4518
R200                  24779     -2.81679
R200                  24780     0.754735
R200                  24781     0.540443
R200                  24782     0.677321
R200                  24783      7.58385
R200                  24784      2.30337
R200                  24785      -2.1728
R200                  24786     -5.34667
R200                  24787     -5.46925
R200                  24788     -5.15255
R200                  24789     -1.73621
R200                  24790     -2.39767
R200                  24791     -2.79549
R200                  24792      7.81587
R200                  24793       2.3175
R200                  24794     -2.67109
R200                  24795     0.909682
R200                  24796     0.704496
R200                  24797      0.77319
R200                  24798     -4.98548
R200                  24799     -5.12683
R200                  24800     -4.92483
R200                  24801     -1.71905
R200                  24802      -2.3749
R200                  24803     -2.76701
R200                  24804     0.988536
R200                  24805     0.817873
R200                  24806     0.822926
R200                  24807      7.99099
R200                  24808      2.29222
R200                  24809     -2.93652
R200                  24810      -4.7085
R200                  24811     -4.83382
R200                  24812     -4.65424
R200                  24813     -1.74181
R200                  24814     -2.39637
R200                  24815     -2.81694
R200                  24816      8.13693
R200                  24817      2.37507
R200                  24818     -2.91637
R200                  24819      1.01685
R200                  24820      1.01855
R200                  24821     0.874801
R200                  24822     0.853778
R200                  24823     0.846621
R200                  24824     0.882462
R200                  24825     -4.49558
R200                  24826     -4.59316
R200                  24827     -4.43372
