Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                    TAUMXY
Superelement       Element    Element average value
==========================================================================================================
R200                  24372     -10.5532
R200                  24373     -12.5495
R200                  24374     -13.8572
R200                  24375     -14.5693
R200                  24376     -13.8724
R200                  24377     -21.9953
R200                  24378     -22.0326
R200                  24379     -21.6064
R200                  24380     -21.4447
R200                  24381     -21.4461
R200                  24382     -23.2284
R200                  24383     -23.8337
R200                  24384     -24.5575
R200                  24385     -25.0687
R200                  24386     -24.1858
R200                  24650      15.7142
R200                  24651       17.191
R200                  24652      23.5995
R200                  24653      20.7638
R200                  24654      22.1359
R200                  24655      23.2882
R200                  24656      24.9283
R200                  24657      25.5665
R200                  24658      25.3563
R200                  24659       25.757
R200                  24660      25.9299
R200                  24661      24.8422
R200                  24662     -29.5958
R200                  24663     -28.3751
R200                  24664     -26.4176
R200                  24665     -29.8094
R200                  24666     -28.3484
R200                  24667     -26.5226
R200                  24668     -29.9219
R200                  24669     -28.2947
R200                  24670     -26.4424
R200                  24671     -29.6164
R200                  24672     -28.1016
R200                  24673     -26.0086
R200                  24674     -29.4365
R200                  24675      -27.107
R200                  24676     -25.1253
R200                  24677     -27.0168
R200                  24678     -25.7799
R200                  24679      -23.999
R200                  24680     -25.2805
R200                  24681     -24.7773
R200                  24682     -23.1506
R200                  24683     -23.2543
R200                  24684      -23.682
R200                  24685     -22.6219
R200                  24687     -21.7691
R200                  24688     -23.1925
R200                  24689     -11.6535
R200                  24690     -15.2547
R200                  24691     -22.7126
R200                  24692      8.38017
R200                  24693       15.165
R200                  24694      18.6471
R200                  24695     0.815805
R200                  24696      2.97419
R200                  24697      4.68043
R200                  24698    -0.664801
R200                  24699    -0.931207
R200                  24700    -0.649892
R200                  24702      6.60154
R200                  24703      6.53131
R200                  24704      6.39095
R200                  24705      6.92555
R200                  24706      6.11024
R200                  24707       9.8123
R200                  24708       13.205
R200                  24709      1.01237
R200                  24710      2.15774
R200                  24711      3.39785
R200                  24712     -1.48892
R200                  24713     -1.41787
R200                  24714     -1.02305
R200                  24715      6.59728
R200                  24716      7.28781
R200                  24717      8.94534
R200                  24718      1.31169
R200                  24719      1.67057
R200                  24720       2.1704
R200                  24721     -2.20062
R200                  24722     -2.27282
R200                  24723     -2.99256
R200                  24724      6.51053
R200                  24725      6.19776
R200                  24726      6.56124
R200                  24727       1.4413
R200                  24728      1.41717
R200                  24729      1.49558
R200                  24730     -3.53864
R200                  24731     -5.32771
R200                  24732     -6.63311
R200                  24733      -7.1606
R200                  24734     -12.9316
R200                  24735     -15.3119
R200                  24736     -15.8511
R200                  24737     -14.3483
R200                  24738      6.10908
R200                  24739      5.50863
R200                  24740      5.37119
R200                  24741      1.41307
R200                  24742      1.26546
R200                  24743      1.18351
R200                  24744     -4.15105
R200                  24745    -0.689487
R200                  24746     -1.69895
R200                  24747      1.47699
R200                  24748      3.17651
R200                  24749      3.87092
R200                  24750     0.276289
R200                  24751      0.37335
R200                  24752     0.758465
R200                  24753        5.658
R200                  24754       5.0565
R200                  24755      4.73421
R200                  24756      1.25998
R200                  24757      1.08457
R200                  24758     0.980221
R200                  24759     -4.61652
R200                  24760     -3.62269
R200                  24761     -2.79624
R200                  24762      1.08372
R200                  24763     0.941116
R200                  24764     0.870589
R200                  24765    -0.256012
R200                  24766    -0.520795
R200                  24767    -0.490202
R200                  24768     -3.18482
R200                  24769      -2.9993
R200                  24770     -2.36825
R200                  24771      5.18057
R200                  24772      4.64244
R200                  24773      4.25725
R200                  24774      4.73123
R200                  24775      4.29211
R200                  24776      3.91578
R200                  24777     0.889947
R200                  24778     0.778265
R200                  24779     0.738605
R200                  24780    -0.613573
R200                  24781    -0.837656
R200                  24782     -0.95186
R200                  24783     -1.90192
R200                  24784      -1.8775
R200                  24785     -1.70869
R200                  24786      4.25218
R200                  24787      3.87333
R200                  24788      3.56972
R200                  24789      0.74675
R200                  24790     0.699706
R200                  24791     0.656414
R200                  24792    -0.511142
R200                  24793    -0.509274
R200                  24794    -0.655406
R200                  24795    -0.836548
R200                  24796    -0.980576
R200                  24797     -1.10688
R200                  24798      3.87087
R200                  24799        3.578
R200                  24800      3.29504
R200                  24801     0.547206
R200                  24802     0.530341
R200                  24803     0.533121
R200                  24804    -0.992474
R200                  24805     -1.06691
R200                  24806     -1.14337
R200                  24807     0.546205
R200                  24808     0.567841
R200                  24809     0.647527
R200                  24810      3.52543
R200                  24811      3.30715
R200                  24812      3.04406
R200                  24813     0.348627
R200                  24814     0.361955
R200                  24815     0.411216
R200                  24816      1.58228
R200                  24817      1.68019
R200                  24818      1.99493
R200                  24819     -1.16897
R200                  24820     -1.09366
R200                  24821     -1.11865
R200                  24822     -1.14912
R200                  24823      -1.1405
R200                  24824     -1.15616
R200                  24825      3.15046
R200                  24826      2.95955
R200                  24827      2.76923
R200                  24828     0.210098
R200                  24829     0.291305
R200                  24830     0.341624
R200                  24831      2.54119
R200                  24832       2.7552
R200                  24833      3.30244
R200                  24834      2.87417
R200                  24835      2.74766
R200                  24836       2.5779
R200                  24837    0.0137819
R200                  24838     0.131322
R200                  24839     0.235098
R200                  24840     -1.21761
R200                  24841       -1.172
R200                  24842     -1.13112
R200                  24843      3.46134
R200                  24844      3.83385
R200                  24845      4.53211
R200                  24846     -1.27735
R200                  24847     -1.20457
R200                  24848     -1.12309
R200                  24849      2.63297
R200                  24850      2.58162
R200                  24851      2.44725
R200                  24852    -0.188587
R200                  24853   -0.0257128
R200                  24854     0.138523
R200                  24855      4.15422
R200                  24856      4.70782
R200                  24857      5.72298
R200                  24858      2.34524
R200                  24859      2.38949
R200                  24860      2.37463
R200                  24861    -0.347146
R200                  24862   -0.0917123
R200                  24863     0.090711
R200                  24864        4.656
R200                  24865      5.42817
R200                  24866      6.77573
R200                  24867     -1.33861
R200                  24868     -1.23881
R200                  24869     -1.13087
R200                  24870      2.18067
R200                  24871      2.45656
R200                  24872      2.49967
R200                  24873    -0.590875
R200                  24874    -0.270996
R200                  24875   -0.0375048
R200                  24876     -1.40531
R200                  24877     -1.28268
R200                  24878     -1.16154
R200                  24879      4.85986
R200                  24880      5.87756
R200                  24881      7.69942
R200                  24882     -1.52178
R200                  24883     -1.41324
R200                  24884     -1.23823
R200                  24885      1.80918
